# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
multi_normal_log;(vectors y, row_vectors mu, matrix Sigma);real;386
multi_normal_log;(vectors y, vectors mu, matrix Sigma);real;386
multi_normal_prec;~;real;387
multi_normal_prec_log;(row_vectors y, row_vectors mu, matrix Omega);real;387
multi_normal_prec_log;(row_vectors y, vectors mu, matrix Omega);real;387
multi_normal_prec_log;(vectors y, row_vectors mu, matrix Omega);real;387
multi_normal_prec_log;(vectors y, vectors mu, matrix Omega);real;387
multi_normal_rng;(vector mu, matrix Sigma);vector;387
multi_student_t;~;real;390
multi_student_t_log;(row_vectors y, real nu, row_vectors mu, matrix Sigma);real;391
multi_student_t_log;(row_vectors y, real nu, vectors mu, matrix Sigma);real;391
multi_student_t_log;(vectors y, real nu, row_vectors mu, matrix Sigma);real;390
multi_student_t_log;(vectors y, real nu, vectors mu, matrix Sigma);real;390
multi_student_t_rng;(real nu, vector mu, matrix Sigma);vector;391
multinomial;~;real;359
multinomial_log;(int[] y, vector theta);real;359
multinomial_rng;(vector theta, int N);vector;359
multiply_log;(real x, real y);real;313
multiply_lower_tri_self_transpose;(matrix x);matrix;330
neg_binomial;~;real;354
neg_binomial_2;~;real;355
neg_binomial_2_ccdf_log;(ints n, reals mu, reals phi);real;356
neg_binomial_2_cdf;(ints n, reals mu, reals phi);real;356
neg_binomial_2_cdf_log;(ints n, reals mu, reals phi);real;356
neg_binomial_2_log;(ints y, reals mu, reals phi);real;355
neg_binomial_2_log;~;real;356
neg_binomial_2_log_log;(ints y, reals eta, reals phi);real;356
neg_binomial_2_log_rng;(real eta, real phi);int;357
neg_binomial_2_rng;(real mu, real phi);int;356
neg_binomial_ccdf_log;(ints n, reals alpha, reals beta);real;355
neg_binomial_cdf;(ints n, reals alpha, reals beta);real;354
neg_binomial_cdf_log;(ints n, reals alpha, reals beta);real;354
neg_binomial_log;(ints n, reals alpha, reals beta);real;354
neg_binomial_rng;(real alpha, real beta);int;355
negative_infinity;();real;294
normal;~;real;361
normal_ccdf_log;(reals y, reals mu, reals sigma);real;361
normal_cdf;(reals y, reals mu, reals sigma);real;361
normal_cdf_log;(reals y, reals mu, reals sigma);real;361
normal_log;(reals y, reals mu, reals sigma);real;361
normal_rng;(real mu, real sigma);real;361
not_a_number;();real;294
num_elements;(T[] x);int;319
num_elements;(matrix x);int;323
num_elements;(row_vector x);int;323
num_elements;(vector x);int;323
operator!;(int x);int;297
operator!;(real x);int;297
operator!=;(int x, int y);int;296
operator!=;(real x, real y);int;296
operator&&;(int x, int y);int;297
operator&&;(real x, real y);int;297
operator';(matrix x);matrix;327
operator';(row_vector x);vector;327
operator';(vector x);row_vector;327
operator*;(int x, int y);int;292
operator*;(matrix x, matrix y);matrix;325
operator*;(matrix x, real y);matrix;325
operator*;(matrix x, vector y);vector;325
operator*;(real x, matrix y);matrix;324
operator*;(real x, real y);real;299
operator*;(real x, row_vector y);row_vector;324
operator*;(real x, vector y);vector;324
operator*;(row_vector x, matrix y);row_vector;325
operator*;(row_vector x, real y);row_vector;325
operator*;(row_vector x, vector y);real;325
operator*;(vector x, real y);vector;324
operator*;(vector x, row_vector y);matrix;325
operator+;(int x);int;292
operator+;(int x, int y);int;292
operator+;(matrix x, matrix y);matrix;324
operator+;(matrix x, real y);matrix;325
operator+;(real x);real;300
operator+;(real x, matrix y);matrix;325
operator+;(real x, real y);real;299
operator+;(real x, row_vector y);row_vector;325
operator+;(real x, vector y);vector;325
operator+;(row_vector x, real y);row_vector;325
operator+;(row_vector x, row_vector y);row_vector;324
operator+;(vector x, real y);vector;325
operator+;(vector x, vector y);vector;324
operator-;(int x);int;292
operator-;(int x, int y);int;292
operator-;(matrix x);matrix;324
operator-;(matrix x, matrix y);matrix;324
operator-;(matrix x, real y);matrix;326
operator-;(real x);real;300
operator-;(real x, matrix y);matrix;326
operator-;(real x, real y);real;299
operator-;(real x, row_vector y);row_vector;326
operator-;(real x, vector y);vector;326
operator-;(row_vector x);row_vector;324
operator-;(row_vector x, real y);row_vector;326
operator-;(row_vector x, row_vector y);row_vector;324
operator-;(vector x);vector;324
operator-;(vector x, real y);vector;325
operator-;(vector x, vector y);vector;324
operator.*;(matrix x, matrix y);matrix;326
operator.*;(row_vector x, row_vector y);row_vector;326
operator.*;(vector x, vector y);vector;326
operator./;(matrix x, matrix y);matrix;327
operator./;(matrix x, real y);matrix;327
operator./;(real x, matrix y);matrix;327
operator./;(real x, row_vector y);row_vector;327
operator./;(real x, vector y);vector;326
operator./;(row_vector x, real y);row_vector;327
operator./;(row_vector x, row_vector y);row_vector;327
operator./;(vector x, real y);vector;326
operator./;(vector x, vector y);vector;326
operator/;(int x, int y);int;292
operator/;(matrix B, matrix A);matrix;338
operator/;(matrix x, real y);matrix;326
operator/;(real x, real y);real;300
